caserne,latitude,longitude,ZONE_OFFICIELLE
3,45.4934543793718,-73.5601720032226,LE SUD-OUEST
15,45.4844194758814,-73.5609171345086,LE SUD-OUEST
23,45.477820050794,-73.5852566191264,LE SUD-OUEST
33,45.4578413687524,-73.5954499348277,LE SUD-OUEST
9,45.5637484701804,-73.6101688625091,VILLERAY-SAINT-MICHEL-PARC-EXTENSION
37,45.5463734869714,-73.6267575593049,VILLERAY-SAINT-MICHEL-PARC-EXTENSION
41,45.5276302734172,-73.6263826158206,VILLERAY-SAINT-MICHEL-PARC-EXTENSION
14,45.6336023514506,-73.586222820932,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES
38,45.6722214018271,-73.5051211334344,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES
44,45.6526511432668,-73.562934043292,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES
32,45.6970521860186,-73.4923671784932,RIVIÈRE-DES-PRAIRIES-POINTE-AUX-TREMBLES
4,45.4899899438549,-73.641637937585,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE
27,45.4973914651673,-73.6219517390426,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE
34,45.4754521363078,-73.614255870437,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE
46,45.4670027027916,-73.6385238893533,CÔTE-DES-NEIGES-NOTRE-DAME-DE-GRÂCE
17,45.5934135172589,-73.6372837472013,MONTRÉAL-NORD
18,45.6166110096517,-73.6215046694016,MONTRÉAL-NORD
16,45.5258129621963,-73.5749028744983,LE PLATEAU-MONT-ROYAL
26,45.5360280348549,-73.571933009301,LE PLATEAU-MONT-ROYAL
30,45.5229649648134,-73.5932429899519,LE PLATEAU-MONT-ROYAL
21,45.5972042835413,-73.6002747741928,SAINT-LÉONARD
22,45.5828637182906,-73.5859736735737,SAINT-LÉONARD
28,45.6028391266366,-73.5587248693008,ANJOU
29,45.5453476006564,-73.5761710131619,ROSEMONT-LA PETITE-PATRIE
31,45.5347232920378,-73.6156945768854,ROSEMONT-LA PETITE-PATRIE
47,45.5475176061416,-73.5979836216596,ROSEMONT-LA PETITE-PATRIE
50,45.5668631280531,-73.5754570185447,ROSEMONT-LA PETITE-PATRIE
5,45.5122394056785,-73.5668472941541,VILLE-MARIE
10,45.4945669363569,-73.5801455406789,VILLE-MARIE
19,45.5279824530893,-73.5579683610969,VILLE-MARIE
20,45.5059356891286,-73.5591487444205,VILLE-MARIE
25,45.4978110616769,-73.5730871757798,VILLE-MARIE
13,45.5398678901366,-73.5403098915477,MERCIER-HOCHELAGA-MAISONNEUVE
39,45.5725217899582,-73.5433184970308,MERCIER-HOCHELAGA-MAISONNEUVE
40,45.6013402913844,-73.5226894001655,MERCIER-HOCHELAGA-MAISONNEUVE
45,45.5630113008474,-73.5412615500993,MERCIER-HOCHELAGA-MAISONNEUVE
48,45.5473233393061,-73.550829390422,MERCIER-HOCHELAGA-MAISONNEUVE
75,45.5177601144633,-73.6078007202427,OUTREMONT
64,45.4372857667618,-73.69109896875,LACHINE
71,45.4939541528954,-73.7442003519122,SAINT-LAURENT
72,45.5084313613361,-73.7095763471175,SAINT-LAURENT
73,45.5126150853355,-73.6780429949501,SAINT-LAURENT
57,45.4937533686966,-73.8498386320894,PIERREFONDS-ROXBORO
58,45.5096526724085,-73.8062958057883,PIERREFONDS-ROXBORO
59,45.4587535033342,-73.8977468313299,PIERREFONDS-ROXBORO
35,45.5560171509645,-73.6702900160447,AHUNTSIC-CARTIERVILLE
42,45.5344651001401,-73.7038473241896,AHUNTSIC-CARTIERVILLE
43,45.5694040746645,-73.6530090731657,AHUNTSIC-CARTIERVILLE
49,45.5440493815669,-73.6510066736331,AHUNTSIC-CARTIERVILLE
66,45.45994266172,-73.5627959751586,VERDUN
67,45.4692142293106,-73.5342486432372,VERDUN
65,45.4259473573013,-73.6265388805635,LASALLE
56,45.4936778924068,-73.8764122218112,L'ÎLE-BIZARD-SAINTE-GENEVIÈVE
52,45.4195992334552,-73.9120779086982,BAIE-D'URFÉ
53,45.4287888241933,-73.868415076878,BEACONSFIELD
78,45.4679571769958,-73.6521717096539,CÔTE-SAINT-LUC
61,45.494039471585,-73.8066461642058,DOLLARD-DES-ORMEAUX
62,45.4741960594848,-73.7865349667563,DORVAL
63,45.4470563250551,-73.7354409386434,DORVAL
54,45.4490928897158,-73.8559930605803,KIRKLAND
74,45.5152676091238,-73.6407797907479,MONT-ROYAL
8,45.6315496481458,-73.4962548930092,MONTRÉAL-EST
77,45.4537179405426,-73.6480548219311,MONTRÉAL-OUEST
55,45.447814876512,-73.8163031936823,POINTE-CLAIRE
51,45.4177791512729,-73.9500159041546,SAINTE-ANNE-DE-BELLEVUE
76,45.4863189887702,-73.5984275366453,WESTMOUNT
