ZONE,Incendies,10-22 avec feu,Déchets en feu,Feu / 2e Alerte,Feu d'auto (voie rapide),Feu de bâtiment,Feu de champ *,Feu de cuisinière,Feu de nature électrique,Feu de véhicule extérieur,Fumée - puit d'accès,Nb_Casernes,Population,Ratio
Ahuntsic-Cartierville,1115,208,311,9,22,56,297,64,7,114,6,4,137514.45158633564,1.62
Anjou,363,78,86,6,21,21,54,17,4,71,0,1,43744.356233639795,1.66
Baie-d'Urfé,49,9,7,1,6,2,15,1,0,7,0,1,3761.6,2.61
Beaconsfield,85,10,20,0,5,8,31,2,1,8,0,1,19392.4,0.88
Côte-Saint-Luc,195,48,44,2,0,14,42,19,1,20,1,1,36056.2,1.08
Côte-des-Neiges-Notre-Dame-de-Grâce,1272,308,446,14,14,72,194,91,6,96,15,4,178393.5653759666,1.43
Dollard-des-Ormeaux,236,64,50,2,0,21,39,12,3,39,1,1,49294.6,0.96
Dorval,243,41,54,3,12,10,60,7,2,50,1,2,19897.6,2.44
Hampstead,29,5,7,0,0,2,3,4,1,4,1,0,7262.8,0.8
Kirkland,104,22,22,0,7,13,19,2,1,16,0,1,19707.8,1.06
L'Île-Bizard-Sainte-Geneviève,182,25,45,2,0,12,72,10,0,15,0,1,19088.567871732335,1.91
LaSalle,618,120,174,6,3,46,158,33,5,70,0,1,88948.54442225778,1.39
Lachine,535,108,167,4,21,38,95,22,4,67,3,1,48302.39269738461,2.22
Le Plateau-Mont-Royal,1488,299,707,17,0,74,247,45,10,51,18,3,107946.40985074425,2.76
Le Sud-Ouest,1182,260,461,13,11,64,241,37,4,67,3,4,90264.20723060305,2.62
Mercier-Hochelaga-Maisonneuve,1767,274,746,14,7,76,400,65,7,140,12,5,144616.9302737671,2.44
Mont-Royal,171,31,47,1,4,9,39,4,1,29,0,1,21665.0,1.58
Montréal-Est,148,19,32,5,1,16,43,3,3,21,1,1,4585.2,6.46
Montréal-Nord,897,153,270,12,0,68,187,58,10,130,4,2,88622.01562657265,2.02
Montréal-Ouest,38,14,10,1,1,2,8,1,0,1,0,1,5182.6,1.47
Outremont,187,45,66,3,0,12,34,9,2,10,5,1,27183.044859505393,1.38
Pierrefonds-Roxboro,473,89,100,5,2,44,152,32,3,41,1,3,70920.7177552218,1.33
Pointe-Claire,279,52,75,4,8,14,70,7,6,37,0,1,34662.4,1.61
Rivière-des-Prairies-Pointe-aux-Trembles,1095,173,227,3,24,63,381,36,4,168,3,4,109891.2611864477,1.99
Rosemont-La Petite-Patrie,1216,233,525,14,0,63,206,53,11,83,11,4,144817.43041146846,1.68
Saint-Laurent,844,206,195,11,31,58,150,53,12,115,0,3,107119.58547336615,1.58
Saint-Léonard,488,98,131,5,10,38,60,30,7,99,3,2,79738.90476384081,1.22
Sainte-Anne-de-Bellevue,49,7,13,0,6,4,11,0,1,6,1,1,5228.4,1.87
Senneville,24,3,5,0,2,0,10,0,0,3,0,0,977.6,4.91
Verdun,634,116,215,11,1,33,188,19,6,25,3,2,72688.93801723592,1.74
Ville-Marie,2723,428,1509,20,4,82,410,58,21,124,19,5,120061.39198071032,4.54
Villeray-Saint-Michel-Parc-Extension,1221,260,428,11,16,93,175,79,6,135,7,3,147133.68438319972,1.66
Westmount,148,29,48,2,5,13,29,3,2,12,1,1,20125.8,1.47
